RID,SID,text,polarity,category
1053,1053:0,Sahura arkadaslarla gittik.,positive,SERVICE#GENERAL
1053,1053:1,Açik büfe sahurdu.,neutral,LOCATION#GENERAL
1053,1053:2,"Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.",positive,AMBIENCE#GENERAL
1053,1053:3,servisi gayet iyi.,positive,FOOD#QUALITY
1053,1053:4,"Tesis, Fethi Pasa korulugunun içinde yer aliyor.",positive,FOOD#STYLE_OPTIONS
1054,1054:0,Etler kalitesi ortalama.,negative,FOOD#PRICES
1054,1054:1,Lezzet ortalama.,conflict,RESTAURANT#GENERAL
1054,1054:2,Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası.,negative,FOOD#QUALITY
1054,1054:3,Mekan güzel.,NULL,NULL
1054,1054:4,Bu et bu parayı asla hak etmiyor.,NULL,NULL
1054,1054:5,Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor.,NULL,NULL
1054,1054:6,Oraya da gidip tadacağım.,NULL,NULL
1055,1055:0,Kuru fasulye için gidilir.,positive,FOOD#QUALITY
1055,1055:1,Güzel yapıyorlar.,negative,SERVICE#GENERAL
1055,1055:2,"Pilav, ayran eşliğinde iyi bir menü.",NULL,NULL
1055,1055:3,"Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş.",NULL,NULL
1055,1055:4,değiştirirler,NULL,NULL
1056,1056:0,Mart ayinin son gunu bugun berbatti burasi.,negative,FOOD#QUALITY
1056,1056:1,"Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.",negative,RESTAURANT#GENERAL
1056,1056:2,Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!,negative,FOOD#STYLE_OPTIONS
1057,1057:0,Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev.,positive,RESTAURANT#PRICES
1057,1057:1,"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",positive,AMBIENCE#GENERAL
1057,1057:2,Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.,positive,RESTAURANT#GENERAL
1057,NULL,NULL,positive,SERVICE#GENERAL
1058,1058:0,Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.,positive,AMBIENCE#GENERAL
1058,1058:1,Ardindan en çok begendigim ise döner oldu.,positive,SERVICE#GENERAL
1058,1058:2,Gayet lezzetliydi.,positive,RESTAURANT#GENERAL
1058,1058:3,Bence buraya yolunuz düserse dönerini ve kavurmali pidesini kesinlik denemenizi öneririm.,positive,FOOD#QUALITY
1058,1058:4,Diger yediklerimizide begendim hepsi güzellerdi.,positive,FOOD#STYLE_OPTIONS
1058,1058:5,Kendi üretimleri manda yogurtlarinida denemenizde fayda var.,positive,RESTAURANT#PRICES
1058,1058:6,Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim.,positive,LOCATION#GENERAL
1058,1058:7,"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",NULL,NULL
1058,1058:8,Son resimde menü içerigini görebilirsiniz.,NULL,NULL
1058,1058:9,Öncelikle ortamini çok begendim.,NULL,NULL
1058,1058:10,"Güzel, sik ve ferah bir ortami var.",NULL,NULL
1058,1058:11,Özellikle restorantin tam ortasindaki agaç çok hosuma gitti.,NULL,NULL
1058,1058:12,Bence asla kesilmemesi lazim.,NULL,NULL
1058,1058:13,O agaci korumak için gösterdiginiz çaba kesinlikle isletmenizin sayginligini fazlasiyla arttiracaktir.,NULL,NULL
1058,1058:14,Hazir ürünlerden çok yöresel ve kendi üretimleri ürünleri kullaniyor oluslari çok hosuma gitti.,NULL,NULL
1058,1058:15,Trabzon ve Rizeden gelen kavurmalar ile yapilan kasarli ve kavurmali pide beni benden aldi.,NULL,NULL
1058,1058:16,Harikaydi...,NULL,NULL
1059,1059:0,"Umdugumu degil buldugumu yedim - Arkadaslarim çok övdü, geldim yedim bitiremedim.",neutral,DRINKS#QUALITY
1059,1059:1,Yani güzel degildi.,negative,FOOD#QUALITY
1059,1059:2,Damak tadima hitap edemedi açikçasi.,positive,RESTAURANT#GENERAL
1059,1059:3,Biberler kizartilmadan atilmis içine.,NULL,NULL
1059,1059:4,Bol yumurtali ve birkaç parça domates atilmis içine.,NULL,NULL
1059,1059:5,Adeta menemen degil biberli omlet olmus gibi.,NULL,NULL
1059,1059:6,Açik ayrani fena degildi.,NULL,NULL
1059,1059:7,Begendim diyebilirim.,NULL,NULL
1060,1060:0,Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,negative,SERVICE#GENERAL
1060,1060:1,hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.,negative,RESTAURANT#PRICES
1060,NULL,NULL,positive,AMBIENCE#GENERAL
1060,NULL,NULL,negative,FOOD#QUALITY
1060,NULL,NULL,negative,FOOD#STYLE_OPTIONS
1061,1061:0,dün gidip yeniden kahvalti etme firsati buldugum yer.,neutral,FOOD#PRICES
1061,1061:1,iki kisi olarak bir kahvalti tabagina ek bir sepet patates ve bir menemen söyledik.,neutral,RESTAURANT#PRICES
1061,1061:2,ben arkadasim ve 2.5 yasindaki oglum rahatlikla doyduk.,positive,DRINKS#STYLE_OPTIONS
1061,1061:3,bir kahvalti tabagi ile gelen çay ücretsizdi.,positive,RESTAURANT#GENERAL
1061,1061:4,yukaridaki masaya ek olarak 3 bardak çay ve su dahil 42 tl ücret ödedik.,positive,FOOD#STYLE_OPTIONS
1061,1061:5,kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,NULL,NULL
1062,1062:0,Sani Istanbul'un dört bir kösesine yayilmis durumda.,negative,RESTAURANT#PRICES
1062,1062:1,Fakat benim çok yakinimda olmasina ragmen çok sik gitmeyi tercih etmiyorum.,positive,FOOD#QUALITY
1062,1062:2,Etine eyvallah fakat fiyat konusunda çok uçuklar.,positive,RESTAURANT#GENERAL
1062,1062:3,Biraz daha ortamini sik hale dönüstürürlerse daha fazla müsteri çekeceklerine eminim.,negative,AMBIENCE#GENERAL
1063,1063:0,Bu kadar çok ve lezzetli çay çeşidini bir arada bulmak çok güzel.,positive,AMBIENCE#GENERAL
1063,1063:1,"Karaköyün dar sokak aralarında, sokağa koyduğu masalarıyla insanı farklı bir atmosfere sürüklüyor.",positive,SERVICE#GENERAL
1063,1063:2,Servis çok özenli ve güzel.,neutral,RESTAURANT#GENERAL
1063,1063:3,Müşterisi genç bir kitle.,positive,FOOD#QUALITY
1063,1063:4,Kül tablalarının dolu ve pis durması bana Starbucks'ı hatırlattı.,positive,FOOD#STYLE_OPTIONS
1063,NULL,NULL,positive,LOCATION#GENERAL
1064,1064:0,Manzara'ya tabikide yıldızlı 5 !,negative,RESTAURANT#PRICES
1064,1064:1,Dekorasyon da bir o kadar güzel.,positive,FOOD#QUALITY
1064,1064:2,Eğer sabırlıysanız ve denize biraz daha yakın olayım diyorsanız iyi şanslar ne kadar bekleyeceğiniz bir muamma.,positive,AMBIENCE#GENERAL
1064,1064:3,Tek kötü yanı bu olabilir burasının benim açımdan.,negative,RESTAURANT#GENERAL
1064,1064:4,Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,NULL,NULL
1064,1064:5,Aşk-ı Memnu'yu tatmayan kalmasın!,NULL,NULL
1064,1064:6,Burdaysanız mutlaka deneyin Kuş Yuvası yenmesi biraz zor bir tatlı ama o da güzel bir alternatif.,NULL,NULL
1065,1065:0,yazın dısarıda yer bulması epey zor.,neutral,AMBIENCE#GENERAL
1065,1065:1,fakat kızartma combosu bir harika.,positive,FOOD#QUALITY
1065,1065:2,sürekli kalabalik nedeniyle servis oldukca yavas.,negative,SERVICE#GENERAL
1065,1065:3,bazen bir hesabın gelmesi bile yarım saat sürebiliyor.,NULL,NULL
1066,1066:0,Sadece ün yapmak işte hepsi bundan ibaret.,negative,AMBIENCE#GENERAL
1066,1066:1,Parasıyla almıyormuş gibi davran panpa konsept esinmesi bülent ersoyun fevkinde,negative,RESTAURANT#GENERAL
1067,1067:0,"3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı.",negative,SERVICE#GENERAL
1067,1067:1,"Masaları silen bir personel vardı bakarmısınız dedik,baktı ama bakmasamıydı.",NULL,NULL
1067,1067:2,Bi dakka bekleyin işim var görüyorsunuz tarzı bir fırça.,NULL,NULL
1068,1068:0,Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.,positive,AMBIENCE#GENERAL
1068,1068:1,Calisanlar pek ilgili degildi hesabi tam 17482 garsona soylememize ragmen yarim saat sonra geldi abartisiz.,positive,FOOD#QUALITY
1068,NULL,NULL,negative,SERVICE#GENERAL
1069,1069:0,içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.,positive,RESTAURANT#PRICES
1069,1069:1,civarda sıcaktan bunalıp serinlemek istiyorsanız boğazın kenarındaki masalardan birine oturup canlı müzik eşliğinde soğuk birşeyler içebilirsiniz.,negative,DRINKS#STYLE_OPTIONS
1069,1069:2,Türk kahvesi de fena değil.,positive,DRINKS#QUALITY
1069,NULL,NULL,positive,RESTAURANT#GENERAL
1070,1070:0,"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",positive,AMBIENCE#GENERAL
1070,1070:1,Arap turistlerin ugrak mekani.,negative,SERVICE#GENERAL
1070,1070:2,Lezzet eh iste.,negative,RESTAURANT#GENERAL
1070,1070:3,Ozetle manzara disinda bisey yok.,neutral,FOOD#QUALITY
1070,NULL,NULL,negative,FOOD#STYLE_OPTIONS
1070,NULL,NULL,negative,RESTAURANT#PRICES
1071,1071:0,Happy hour icin vazgecilmez nokta.,positive,FOOD#QUALITY
1071,1071:1,Bence burgerleri ve pizzasi Kanyon'da yenebilecek acik ara en iyi.,positive,RESTAURANT#GENERAL
1071,1071:2,Zincirler icinde tek tercih edilebilir yer.,NULL,NULL
1072,1072:0,Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.,negative,RESTAURANT#GENERAL
1072,1072:1,Neden bu kadar popüler oldugunu anlamiyorum.,neutral,FOOD#QUALITY
1072,1072:2,Hatta bazi pizzalarda dominosun benzerleri tercih edilebilir.,NULL,NULL
1073,1073:0,Num Num gerçegi - Yediginiz herseyin hakkini verdikleri bir gerçek.,negative,AMBIENCE#GENERAL
1073,1073:1,Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,positive,FOOD#QUALITY
1074,1074:0,Manzaraya da sufleye de bayildik.,neutral,FOOD#PRICES
1074,1074:1,Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,neutral,DRINKS#PRICES
1074,1074:2,"Sufle 13,5 lira, çay 4,5 lira.",positive,AMBIENCE#GENERAL
1074,NULL,NULL,positive,FOOD#QUALITY
1075,1075:0,Levent çarsinin içinde bulunan express daha genç bir görünüme sahip.,positive,RESTAURANT#PRICES
1075,1075:1,Özellikle paket servisi için açilmis.,positive,FOOD#STYLE_OPTIONS
1075,1075:2,Burada sulu yemek yok.,NULL,NULL
1075,1075:3,Gençler ve ögrenciler için fiyatlari daha uygun tutmuslar.,NULL,NULL
1075,1075:4,Lahmacun döner burger pide ve köfte çesitleri mevcut.,NULL,NULL
1076,1076:0,Iftar menüsü 80 TL.,neutral,FOOD#PRICES
1076,1076:1,Ezogelin çorba çok tuzluydu.,negative,AMBIENCE#GENERAL
1076,1076:2,Ve erken servis edildigi için iftara kadar sogudu.,conflict,FOOD#QUALITY
1076,1076:3,Içli köfte ve pirzola güzeldi.,negative,SERVICE#GENERAL
1076,1076:4,Servis elemanlari yetersiz oldugu için yavasti.,NULL,NULL
1076,1076:5,Her seyden öte böyle bir mekana bu tuvaletler hiç yakismiyor,NULL,NULL
1077,1077:0,"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",negative,DRINKS#STYLE_OPTIONS
1077,1077:1,Hayal kırıklığı,negative,RESTAURANT#GENERAL
1077,NULL,NULL,negative,SERVICE#GENERAL
1078,1078:0,Bir kaç kez yemek yeme fırsatı bulduğum mekan.,negative,SERVICE#GENERAL
1078,1078:1,"Civardaki restorantlardan pek bir farkı yok, servisi yavaş.",NULL,NULL
1078,1078:2,Fiyatlar da aynı şekilde civardakilerle hemen hemen aynı.,NULL,NULL
1079,1079:0,Her deniz ürününü karıştırıp önünüze getiriyorlar.,conflict,FOOD#QUALITY
1079,1079:1,Açıkçası hicbirinin tadını tam alamiyorsunuz.,negative,FOOD#STYLE_OPTIONS
1079,1079:2,Balik ve deniz ürünlerini çok sevmeyenler Balik KFCsi kıvamında olduğu ve Kızartma bol olduğu için sevebilirler.,NULL,NULL
1079,1079:3,Sadece soya soslu somon başarılıydı.,NULL,NULL
1080,1080:0,"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",positive,AMBIENCE#GENERAL
1080,NULL,NULL,positive,RESTAURANT#GENERAL
1080,NULL,NULL,positive,FOOD#STYLE_OPTIONS
1081,1081:0,"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",negative,FOOD#QUALITY
1081,1081:1,Garsonu bu kadar uyardigimizda ise sadece iletirim dedi.,negative,SERVICE#GENERAL
1081,1081:2,Özür bile dilemediler.,NULL,NULL
1082,1082:0,Machiato dediğim halde yerine espresso servis eden işletme.,negative,FOOD#STYLE_OPTIONS
1082,1082:1,"Boş bardak, fincan, tabak masada bekliyor, toplayan yok.",positive,AMBIENCE#GENERAL
1082,1082:2,"Menüdeki çeşitleri sorunca, o yok, bu yok, onun yerine şunu verelim, bunu verelim.",negative,RESTAURANT#GENERAL
1082,1082:3,"Kirli, iyi yıkanmamış bardakla çay servisi.",negative,SERVICE#GENERAL
1082,1082:4,Mado'nun genel hastalıklarının bir araya gelmiş hali gibi.,NULL,NULL
1082,1082:5,Manzara satıyor burada da.,NULL,NULL
1082,1082:6,Yoksa Mado'ların kötü bir örneği.,NULL,NULL
1082,1082:7,"Haklarını yemeyelim, iki günlük gazete bulup okuyabildik.",NULL,NULL
1083,1083:0,Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,negative,AMBIENCE#GENERAL
1083,1083:1,Mekan çok küçük hemen doluyor.,negative,SERVICE#GENERAL
1083,1083:2,Öglenleri yer bulamadigimiz çok oluyor.,positive,RESTAURANT#GENERAL
1083,1083:3,Genelde ürünler lezzetli ve fiyat da uygun .,positive,FOOD#PRICES
1083,1083:4,Öglen için tercih edilebilir ama 12yi çok geçirmemek gerekiyor...,positive,FOOD#QUALITY
1083,NULL,NULL,positive,FOOD#STYLE_OPTIONS
1084,1084:0,"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",positive,AMBIENCE#GENERAL
1084,NULL,NULL,positive,FOOD#QUALITY
1084,NULL,NULL,positive,DRINKS#QUALITY
1085,1085:0,Mantarlı pizzaya ( porchini ve kestane) sucuk eklettim.,negative,DRINKS#STYLE_OPTIONS
1085,1085:1,Malzemeler güzel ama hamuru çok sevemedim.,positive,AMBIENCE#GENERAL
1085,1085:2,Sanki hazır gibi geldi.,conflict,FOOD#STYLE_OPTIONS
1085,1085:3,Genel olarak mekan şirin.,NULL,NULL
1085,1085:4,Fiyatlar upper crust ayarında ama lezzet ve ölçü farklı.,NULL,NULL
1085,1085:5,Karşılaştırırsak; bence upper crust hamur ve ölçü olarak daha iyi.,NULL,NULL
1085,1085:6,Alkol olsa daha tutulabilirler.,NULL,NULL
1085,1085:7,Çünkü bulundukları lokasyonda rakip çok.,NULL,NULL
1086,1086:0,Hayatımın en pahalı yemeğini yediğim restoran.,negative,FOOD#PRICES
1086,1086:1,Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,neutral,SERVICE#GENERAL
1086,1086:2,Yemek porsiyonları çok küçük.,negative,AMBIENCE#GENERAL
1086,1086:3,Vale hizmeti var.,positive,FOOD#QUALITY
1086,1086:4,Hayatınızda bir defa gidilebilecek bir yer.,negative,FOOD#STYLE_OPTIONS
1087,1087:0,Rock'n Roll burger yedim.,positive,AMBIENCE#GENERAL
1087,1087:1,Burger ekmegi yumusamis dagiliyordu.,negative,FOOD#QUALITY
1087,1087:2,Icinde ki sos da pek bi istah acici degildi.,NULL,NULL
1087,1087:3,Ortami guzel gidilecekse onun icin gidelebilir.,NULL,NULL
1088,1088:0,"Mekan enteresan bir havaya sahip , haftaici aksamlari abiler ellerinde nargilelerle çayla muhabbetin dibine vururken.",positive,RESTAURANT#PRICES
1088,1088:1,Hafta sonu sabahlari ozellikle evli ve cocuklu ciftlerin kahvalti merkezi oluyor.,positive,FOOD#QUALITY
1088,1088:2,Yemeklerini ve caylarini begendigim.,neutral,AMBIENCE#GENERAL
1088,1088:3,Fiyat olarak gayet mantikli bir isletme.,positive,RESTAURANT#GENERAL
1088,1088:4,Tavsiyemdir,positive,DRINKS#QUALITY
1089,1089:0,Kendilerine özel biraları mevcut olsaydı belki daha güzel olurdu ama standart biralardan içmek durumunda kaldık.,positive,FOOD#STYLE_OPTIONS
1089,1089:1,Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,negative,DRINKS#STYLE_OPTIONS
1089,1089:2,Yemekler de farklı tadlar var.,positive,AMBIENCE#GENERAL
1089,1089:3,Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.,positive,SERVICE#GENERAL
1090,1090:0,Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,positive,SERVICE#GENERAL
1090,1090:1,Citys'in alt katındayken tanıdık sevdik.,positive,DRINKS#QUALITY
1090,1090:2,"Magnolia'sı ayrı, limonatası ayrı güzel.",positive,RESTAURANT#GENERAL
1090,1090:3,Bir peynirli tostu bile çok özenle sunuyorlar.,positive,FOOD#QUALITY
1090,NULL,NULL,positive,FOOD#STYLE_OPTIONS
1091,1091:0,Somon ızgarasına 4 puan.,positive,AMBIENCE#GENERAL
1091,1091:1,Hem sağlıklı hem de doyurucu.,positive,FOOD#QUALITY
1091,1091:2,Güzel bir öğle yemeği molası.,positive,DRINKS#QUALITY
1091,1091:3,Bahçesi de güzel.,NULL,NULL
1091,1091:4,Salıncağı bile var.,NULL,NULL
1091,1091:5,Yemek üzerine de soğuk kahve iyi gidiyor.,NULL,NULL
1092,1092:0,"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",positive,AMBIENCE#GENERAL
1092,1092:1,Kahvaltı seçenekleri çok iyi.,positive,SERVICE#GENERAL
1092,1092:2,Yemekleri de fena değil.,neutral,FOOD#QUALITY
1092,1092:3,Tüm bu özelikleri göz önüne alınca fiyatlar çok makul geliyor.,positive,RESTAURANT#GENERAL
1092,1092:4,"Gece, gündüz, her zaman için öneririm.",positive,FOOD#STYLE_OPTIONS
1092,1092:5,Özellikle yaz aylarında.,positive,RESTAURANT#PRICES
1092,NULL,NULL,positive,LOCATION#GENERAL
1093,1093:0,Besiktaki en hakiki pideci diyebilirim.,negative,SERVICE#GENERAL
1093,1093:1,ben bu yuzden tatli yemegi tercih etmedim.,positive,RESTAURANT#GENERAL
1093,1093:2,fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,neutral,FOOD#PRICES
1093,1093:3,puanimdan sirf yavas yuzunden kisiyorum!,positive,FOOD#QUALITY
1093,1093:4,otobus duraginin hemen karsisinda yeri cok kolay.,positive,FOOD#STYLE_OPTIONS
1093,1093:5,kucuk ama hep dolu olan bir pideci.,positive,LOCATION#GENERAL
1093,1093:6,porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,NULL,NULL
1093,1093:7,servis oldukca yavas.,NULL,NULL
1093,1093:8,yavas demek bile az kalir.,NULL,NULL
1093,1093:9,az vaktiniz varsa kesinlikle ogle saatlerinde ugramayiniz.,NULL,NULL
1093,1093:10,besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.,NULL,NULL
1093,1093:11,tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,NULL,NULL
1094,1094:0,Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,neutral,RESTAURANT#PRICES
1094,NULL,NULL,neutral,RESTAURANT#GENERAL
1094,NULL,NULL,negative,SERVICE#GENERAL
1095,1095:0,"Manzarasi icin gidilesi cafe , cok fazla yazacak bisey yok.",neutral,RESTAURANT#PRICES
1095,1095:1,fiyatlar standart seviyede.,positive,LOCATION#GENERAL
1095,1095:2,otopark sorunu yok.,positive,AMBIENCE#GENERAL
1095,1095:3,sessiz sakin ve huzurlu bir mekan.,NULL,NULL
1096,1096:0,Kuru fasulyesi lezzetli.,positive,RESTAURANT#GENERAL
1096,1096:1,Sutlaci tavsiye edilir.,positive,AMBIENCE#GENERAL
1096,1096:2,Köftesi de kaliteli.,positive,FOOD#QUALITY
1096,1096:3,Sade güzel bir yer.,positive,SERVICE#GENERAL
1096,1096:4,Çalışanlar ilgili kibar.,NULL,NULL
1096,1096:5,Ortaköye yolu düşen ugramali.,NULL,NULL
1097,1097:0,Park sorunu ciddi.,negative,FOOD#PRICES
1097,1097:1,Valesi var gerçi.,negative,FOOD#STYLE_OPTIONS
1097,1097:2,Pazar sabahları brunch dışında seçeneğiniz yok.,conflict,LOCATION#GENERAL
1097,1097:3,Brunch çeşitleri ehh.,neutral,SERVICE#GENERAL
1097,1097:4,Masaya istenen sucuklu yumurtanın sucuğuna extra ücret istenmesi ayıp.,NULL,NULL
1097,1097:5,Mekanın lokasyonu on numara ama rezervasyonsuz deniz kenarı masa bulmanız imkansız.,NULL,NULL
1097,1097:6,"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",NULL,NULL
1098,1098:0,"Hisarüstü'ndeki diğer mekanlara nazaran büyük olmasıyla fark yaratıyor ama eğer kalabalık bir grup değilseniz, Hisarüstü'ndeki diğer yerleri tercih edebilirsiniz.",negative,SERVICE#GENERAL
1098,1098:1,En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.,NULL,NULL
1099,1099:0,"Tek kelimeyle muhtesem bir lezzet, doner kesimi tam olarak usta isi.",positive,SERVICE#GENERAL
1099,1099:1,Yagsiz ve cok lezzetli.,positive,RESTAURANT#GENERAL
1099,1099:2,Yaninda getirdikleri tandir lavasi ise bugune kadar yedigim en lezzetli lavas.,positive,FOOD#QUALITY
1099,1099:3,Oturdugunuz gibi siparisiniz aliniyor ve hemen servis yapilmaya baslaniyor.,positive,FOOD#STYLE_OPTIONS
1099,1099:4,Ortaya ise salata ve patates kizartmasi getiriyolar.,NULL,NULL
1099,1099:5,Acik ara en iyi donerci.,NULL,NULL
1100,1100:0,Big chefs her daim şişirilmiş bir kafedir.,negative,FOOD#PRICES
1100,1100:1,Çünkü size oluru olmayan fiyatlar sunar.,negative,RESTAURANT#PRICES
1100,1100:2,Bunun yanı sıra şube açtığı semtler ortadadır.,negative,RESTAURANT#GENERAL
1100,1100:3,İsim yapmıştır çünkü pahalı olduğu için kaliteli algısı yaratır .,NULL,NULL
1100,1100:4,"Bir ayvalık tostuna 20 tl , bir kavanoz tatlıya 20 tl vs. Yazan bu mekana kesinlikle gitmem .",NULL,NULL
1100,1100:5,Çünkü bu israftan başka bir şey değil benim nazarımda .,NULL,NULL
1100,1100:6,Böyle mekanları biraz boş bırakmak lazım ki Fiyat skalasını biraz düşük aralığa taşısınlar !,NULL,NULL
1101,1101:0,"Tatlilar - Tatlilari çok güzel, tiramisu özellikle yenilmeli ama ana ögün kadar büyük geliyor dikkat!",positive,FOOD#QUALITY
1101,1101:1,"Unsuz çikolatali pastasi biraz agir, diyet yapanlar bulasmasin!",NULL,NULL
1102,1102:0,Yemeklerin tadi tuzu yok.,negative,RESTAURANT#GENERAL
1102,1102:1,Ortam gürültüden ibaret.,negative,AMBIENCE#GENERAL
1102,1102:2,Garsonlar TV izlemekten size bakmiyor.,negative,FOOD#QUALITY
1102,1102:3,Geçin allahaskina baska bir sürü yer var yenebilecek,negative,SERVICE#GENERAL
1103,1103:0,Güzel - Konum olarak çok keyifli bir yer degil ancak çalisirken ögle yemekleri için bazen gidiyoruz.,negative,LOCATION#GENERAL
1103,1103:1,"Yemeklerin lezzetine inanamayacaksiniz, pastirma ile yapilan Topkapi kebabi çok iyidir.",positive,FOOD#QUALITY
1104,1104:0,Koftenin hicbir ozelligi yok.,conflict,AMBIENCE#GENERAL
1104,1104:1,Hizmet yok guleryuz yok.,negative,RESTAURANT#GENERAL
1104,1104:2,Manzaranin ekmegini yiyorlar.,negative,FOOD#QUALITY
1104,1104:3,Masalar dipdibe marketten dondurulmus kofte alin evinizde yiyebilirsiniz.,negative,SERVICE#GENERAL
1104,1104:4,Inanin fark yok.,NULL,NULL
1105,1105:0,Siradan - Siradan kebaplari olan mekan...,conflict,FOOD#QUALITY
1105,1105:1,Kebap için kesinlikle gidilmeli denemez ama tatlilari inanilmaz güzel.,NULL,NULL
1105,1105:2,Megerse meshur Çavusoglu tatlinin sahiplerimis isletmecileri.,NULL,NULL
1106,1106:0,Hizmetten cok memnun kaldik.,positive,RESTAURANT#GENERAL
1106,1106:1,Herkes cok ilgili ve guler yuzluydu.,positive,FOOD#QUALITY
1106,1106:2,Yogunluktan dolayi yer bulma konusunda biraz sikinti yasamis olsak da sansimiza en guzel yeri kaptik balkonda :,positive,SERVICE#GENERAL
1106,1106:3,D Somon izgara ve etli quesadilla sipariz ettik.,NULL,NULL
1106,1106:4,"Somon izgaranin altinda olan kuskonmazli ispanakli sote mukemmeldi, yemek ise genel olarak guzeldi.",NULL,NULL
1106,1106:5,Etli quesadillanin ise ozellikle eti cok guzeldi.,NULL,NULL
1106,1106:6,Mutlaka bir daha gelicez :,NULL,NULL
1107,1107:0,Sevdiğim bir mekan.,positive,SERVICE#GENERAL
1107,1107:1,"Müzikler, bahçesi, menüsü güzel.",negative,LOCATION#GENERAL
1107,1107:2,Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.,positive,AMBIENCE#GENERAL
1107,1107:3,Çalışanları da güler yüzlü.,positive,RESTAURANT#GENERAL
1107,1107:4,Girerken böyle bir yerle karşılaşacağınızı tahmin etmiyorsunuz konumu nedeniyle.,positive,FOOD#STYLE_OPTIONS
1108,1108:0,Sütiş'in Emirgan şubesi gibi bu şubesinin manzarası da çok güzel deniz hemen yanınızda köprü hemen sağ çaprazda :,positive,RESTAURANT#PRICES
1108,1108:1,) yemekler güzel fiyatlar da mekana göre gayet uygun.,positive,AMBIENCE#GENERAL
